"Date", "Sunrise", "Sunset", "Daylength"
"2017-03-27", "07:49", "20:27", "12:39"
"2017-03-28", "07:46", "20:29", "12:43"
"2017-03-29", "07:44", "20:31", "12:47"
"2017-03-30", "07:42", "20:33", "12:51"
"2017-03-31", "07:39", "20:34", "12:55"
"2017-04-01", "07:37", "20:36", "12:59"
"2017-04-02", "07:35", "20:38", "13:03"
"2017-04-03", "07:32", "20:40", "13:07"
"2017-04-04", "07:30", "20:41", "13:11"
"2017-04-05", "07:28", "20:43", "13:15"
"2017-04-06", "07:25", "20:45", "13:19"
"2017-04-07", "07:23", "20:46", "13:23"
"2017-04-08", "07:21", "20:48", "13:27"
"2017-04-09", "07:19", "20:50", "13:31"
"2017-04-10", "07:16", "20:52", "13:35"
"2017-04-11", "07:14", "20:53", "13:39"
"2017-04-12", "07:12", "20:55", "13:43"
"2017-04-13", "07:10", "20:57", "13:47"
"2017-04-14", "07:07", "20:59", "13:51"
"2017-04-15", "07:05", "21:00", "13:55"
"2017-04-16", "07:03", "21:02", "13:59"
"2017-04-17", "07:01", "21:04", "14:03"
"2017-04-18", "06:59", "21:05", "14:07"
"2017-04-19", "06:56", "21:07", "14:11"
"2017-04-20", "06:54", "21:09", "14:15"
"2017-04-21", "06:52", "21:11", "14:19"
"2017-04-22", "06:50", "21:12", "14:22"
"2017-04-23", "06:48", "21:14", "14:26"
"2017-04-24", "06:46", "21:16", "14:30"
"2017-04-25", "06:44", "21:18", "14:34"
"2017-04-26", "06:42", "21:19", "14:38"
"2017-04-27", "06:40", "21:21", "14:41"
"2017-04-28", "06:38", "21:23", "14:45"
"2017-04-29", "06:36", "21:24", "14:49"
"2017-04-30", "06:34", "21:26", "14:52"
"2017-05-01", "06:32", "21:28", "14:56"
"2017-05-02", "06:30", "21:29", "15:00"
"2017-05-03", "06:28", "21:31", "15:03"
"2017-05-04", "06:26", "21:33", "15:07"
"2017-05-05", "06:24", "21:34", "15:10"
"2017-05-06", "06:22", "21:36", "15:14"
"2017-05-07", "06:21", "21:38", "15:17"
"2017-05-08", "06:19", "21:39", "15:21"
"2017-05-09", "06:17", "21:41", "15:24"
"2017-05-10", "06:15", "21:43", "15:27"
"2017-05-11", "06:14", "21:44", "15:31"
"2017-05-12", "06:12", "21:46", "15:34"
"2017-05-13", "06:10", "21:48", "15:37"
"2017-05-14", "06:09", "21:49", "15:40"
"2017-05-15", "06:07", "21:51", "15:43"
"2017-05-16", "06:06", "21:52", "15:46"
"2017-05-17", "06:04", "21:54", "15:49"
"2017-05-18", "06:03", "21:55", "15:52"
"2017-05-19", "06:01", "21:57", "15:55"
"2017-05-20", "06:00", "21:58", "15:58"
"2017-05-21", "05:59", "22:00", "16:01"
"2017-05-22", "05:57", "22:01", "16:04"
"2017-05-23", "05:56", "22:03", "16:06"
"2017-05-24", "05:55", "22:04", "16:09"
"2017-05-25", "05:54", "22:05", "16:11"
"2017-05-26", "05:53", "22:07", "16:14"
"2017-05-27", "05:52", "22:08", "16:16"
"2017-05-28", "05:51", "22:09", "16:19"
"2017-05-29", "05:50", "22:10", "16:21"
"2017-05-30", "05:49", "22:12", "16:23"
"2017-05-31", "05:48", "22:13", "16:25"
"2017-06-01", "05:47", "22:14", "16:27"
"2017-06-02", "05:46", "22:15", "16:29"
"2017-06-03", "05:45", "22:16", "16:31"
"2017-06-04", "05:45", "22:17", "16:33"
"2017-06-05", "05:44", "22:18", "16:34"
"2017-06-06", "05:43", "22:19", "16:36"
"2017-06-07", "05:43", "22:20", "16:37"
"2017-06-08", "05:42", "22:21", "16:39"
"2017-06-09", "05:42", "22:22", "16:40"
"2017-06-10", "05:42", "22:23", "16:41"
"2017-06-11", "05:41", "22:23", "16:42"
"2017-06-12", "05:41", "22:24", "16:43"
"2017-06-13", "05:41", "22:25", "16:44"
"2017-06-14", "05:41", "22:25", "16:45"
"2017-06-15", "05:40", "22:26", "16:45"
"2017-06-16", "05:40", "22:26", "16:46"
"2017-06-17", "05:40", "22:27", "16:46"
"2017-06-18", "05:40", "22:27", "16:47"
"2017-06-19", "05:40", "22:28", "16:47"
"2017-06-20", "05:41", "22:28", "16:47"
"2017-06-21", "05:41", "22:28", "16:47"
"2017-06-22", "05:41", "22:28", "16:47"
"2017-06-23", "05:41", "22:28", "16:47"
"2017-06-24", "05:42", "22:28", "16:47"
"2017-06-25", "05:42", "22:29", "16:46"
"2017-06-26", "05:43", "22:28", "16:46"
"2017-06-27", "05:43", "22:28", "16:45"
"2017-06-28", "05:44", "22:28", "16:45"
"2017-06-29", "05:44", "22:28", "16:44"
"2017-06-30", "05:45", "22:28", "16:43"
"2017-07-01", "05:46", "22:28", "16:42"
"2017-07-02", "05:46", "22:27", "16:41"
"2017-07-03", "05:47", "22:27", "16:40"
"2017-07-04", "05:48", "22:26", "16:38"
"2017-07-05", "05:49", "22:26", "16:37"
"2017-07-06", "05:50", "22:25", "16:36"
"2017-07-07", "05:51", "22:25", "16:34"
"2017-07-08", "05:52", "22:24", "16:32"
"2017-07-09", "05:53", "22:23", "16:31"
"2017-07-10", "05:54", "22:22", "16:29"
"2017-07-11", "05:55", "22:22", "16:27"
"2017-07-12", "05:56", "22:21", "16:25"
"2017-07-13", "05:57", "22:20", "16:23"
"2017-07-14", "05:58", "22:19", "16:21"
"2017-07-15", "05:59", "22:18", "16:19"
"2017-07-16", "06:01", "22:17", "16:16"
"2017-07-17", "06:02", "22:16", "16:14"
"2017-07-18", "06:03", "22:15", "16:11"
"2017-07-19", "06:04", "22:13", "16:09"
"2017-07-20", "06:06", "22:12", "16:06"
"2017-07-21", "06:07", "22:11", "16:04"
"2017-07-22", "06:09", "22:10", "16:01"
"2017-07-23", "06:10", "22:08", "15:58"
"2017-07-24", "06:11", "22:07", "15:55"
"2017-07-25", "06:13", "22:05", "15:53"
"2017-07-26", "06:14", "22:04", "15:50"
"2017-07-27", "06:16", "22:03", "15:47"
"2017-07-28", "06:17", "22:01", "15:44"
"2017-07-29", "06:19", "21:59", "15:41"
"2017-07-30", "06:20", "21:58", "15:37"
"2017-07-31", "06:22", "21:56", "15:34"
"2017-08-01", "06:23", "21:55", "15:31"
"2017-08-02", "06:25", "21:53", "15:28"
"2017-08-03", "06:27", "21:51", "15:24"
"2017-08-04", "06:28", "21:49", "15:21"
"2017-08-05", "06:30", "21:48", "15:18"
"2017-08-06", "06:31", "21:46", "15:14"
"2017-08-07", "06:33", "21:44", "15:11"
"2017-08-08", "06:35", "21:42", "15:07"
"2017-08-09", "06:36", "21:40", "15:04"
"2017-08-10", "06:38", "21:38", "15:00"
"2017-08-11", "06:39", "21:36", "14:57"
"2017-08-12", "06:41", "21:34", "14:53"
"2017-08-13", "06:43", "21:32", "14:50"
"2017-08-14", "06:44", "21:30", "14:46"
"2017-08-15", "06:46", "21:28", "14:42"
"2017-08-16", "06:48", "21:26", "14:39"
"2017-08-17", "06:49", "21:24", "14:35"
"2017-08-18", "06:51", "21:22", "14:31"
"2017-08-19", "06:53", "21:20", "14:27"
"2017-08-20", "06:54", "21:18", "14:24"
"2017-08-21", "06:56", "21:16", "14:20"
"2017-08-22", "06:58", "21:14", "14:16"
"2017-08-23", "06:59", "21:11", "14:12"
"2017-08-24", "07:01", "21:09", "14:08"
"2017-08-25", "07:02", "21:07", "14:05"
"2017-08-26", "07:04", "21:05", "14:01"
"2017-08-27", "07:06", "21:03", "13:57"
"2017-08-28", "07:07", "21:00", "13:53"
"2017-08-29", "07:09", "20:58", "13:49"
"2017-08-30", "07:11", "20:56", "13:45"
"2017-08-31", "07:12", "20:54", "13:41"
"2017-09-01", "07:14", "20:51", "13:37"
"2017-09-02", "07:16", "20:49", "13:33"
"2017-09-03", "07:17", "20:47", "13:29"
"2017-09-04", "07:19", "20:44", "13:26"
"2017-09-05", "07:21", "20:42", "13:22"
"2017-09-06", "07:22", "20:40", "13:18"
"2017-09-07", "07:24", "20:38", "13:14"
"2017-09-08", "07:26", "20:35", "13:10"
"2017-09-09", "07:27", "20:33", "13:06"
"2017-09-10", "07:29", "20:31", "13:02"
"2017-09-11", "07:30", "20:28", "12:58"
"2017-09-12", "07:32", "20:26", "12:54"
"2017-09-13", "07:34", "20:23", "12:50"
"2017-09-14", "07:35", "20:21", "12:46"
"2017-09-15", "07:37", "20:19", "12:42"
"2017-09-16", "07:39", "20:16", "12:38"
"2017-09-17", "07:40", "20:14", "12:34"
"2017-09-18", "07:42", "20:12", "12:30"
"2017-09-19", "07:44", "20:09", "12:26"
"2017-09-20", "07:45", "20:07", "12:22"
"2017-09-21", "07:47", "20:05", "12:18"
"2017-09-22", "07:49", "20:02", "12:14"
"2017-09-23", "07:50", "20:00", "12:10"
"2017-09-24", "07:52", "19:57", "12:06"
"2017-09-25", "07:54", "19:55", "12:01"
"2017-09-26", "07:55", "19:53", "11:57"
"2017-09-27", "07:57", "19:50", "11:53"
"2017-09-28", "07:59", "19:48", "11:49"
"2017-09-29", "08:00", "19:46", "11:45"
"2017-09-30", "08:02", "19:43", "11:41"
"2017-10-01", "08:04", "19:41", "11:37"
"2017-10-02", "08:05", "19:39", "11:33"
"2017-10-03", "08:07", "19:36", "11:29"
"2017-10-04", "08:09", "19:34", "11:25"
"2017-10-05", "08:10", "19:32", "11:21"
"2017-10-06", "08:12", "19:29", "11:17"
"2017-10-07", "08:14", "19:27", "11:13"
"2017-10-08", "08:16", "19:25", "11:09"
"2017-10-09", "08:17", "19:23", "11:05"
"2017-10-10", "08:19", "19:20", "11:01"
"2017-10-11", "08:21", "19:18", "10:57"
"2017-10-12", "08:22", "19:16", "10:53"
"2017-10-13", "08:24", "19:14", "10:49"
"2017-10-14", "08:26", "19:11", "10:45"
"2017-10-15", "08:28", "19:09", "10:41"
"2017-10-16", "08:29", "19:07", "10:37"
"2017-10-17", "08:31", "19:05", "10:34"
"2017-10-18", "08:33", "19:03", "10:30"
"2017-10-19", "08:35", "19:00", "10:26"
"2017-10-20", "08:37", "18:58", "10:22"
"2017-10-21", "08:38", "18:56", "10:18"
"2017-10-22", "08:40", "18:54", "10:14"
"2017-10-23", "08:42", "18:52", "10:10"
"2017-10-24", "08:44", "18:50", "10:06"
"2017-10-25", "08:46", "18:48", "10:02"
"2017-10-26", "08:47", "18:46", "09:59"
"2017-10-27", "08:49", "18:44", "09:55"
"2017-10-28", "08:51", "18:42", "09:51"
"2017-10-29", "07:53", "17:40", "09:47"
"2017-10-30", "07:55", "17:38", "09:44"
"2017-10-31", "07:56", "17:36", "09:40"
"2017-11-01", "07:58", "17:34", "09:36"
"2017-11-02", "08:00", "17:32", "09:32"
"2017-11-03", "08:02", "17:31", "09:29"
"2017-11-04", "08:04", "17:29", "09:25"
"2017-11-05", "08:05", "17:27", "09:22"
"2017-11-06", "08:07", "17:25", "09:18"
"2017-11-07", "08:09", "17:24", "09:14"
"2017-11-08", "08:11", "17:22", "09:11"
"2017-11-09", "08:13", "17:20", "09:08"
"2017-11-10", "08:15", "17:19", "09:04"
"2017-11-11", "08:16", "17:17", "09:01"
"2017-11-12", "08:18", "17:15", "08:57"
"2017-11-13", "08:20", "17:14", "08:54"
"2017-11-14", "08:22", "17:12", "08:51"
"2017-11-15", "08:23", "17:11", "08:48"
"2017-11-16", "08:25", "17:10", "08:44"
"2017-11-17", "08:27", "17:08", "08:41"
"2017-11-18", "08:29", "17:07", "08:38"
"2017-11-19", "08:30", "17:06", "08:35"
"2017-11-20", "08:32", "17:04", "08:32"
"2017-11-21", "08:34", "17:03", "08:30"
"2017-11-22", "08:35", "17:02", "08:27"
"2017-11-23", "08:37", "17:01", "08:24"
"2017-11-24", "08:39", "17:00", "08:21"
"2017-11-25", "08:40", "16:59", "08:19"
"2017-11-26", "08:42", "16:58", "08:16"
"2017-11-27", "08:43", "16:57", "08:14"
"2017-11-28", "08:45", "16:56", "08:11"
"2017-11-29", "08:46", "16:55", "08:09"
"2017-11-30", "08:48", "16:55", "08:07"
"2017-12-01", "08:49", "16:54", "08:05"
"2017-12-02", "08:51", "16:53", "08:02"
"2017-12-03", "08:52", "16:53", "08:00"
"2017-12-04", "08:53", "16:52", "07:59"
"2017-12-05", "08:55", "16:52", "07:57"
"2017-12-06", "08:56", "16:51", "07:55"
"2017-12-07", "08:57", "16:51", "07:54"
"2017-12-08", "08:58", "16:51", "07:52"
"2017-12-09", "09:00", "16:50", "07:51"
"2017-12-10", "09:01", "16:50", "07:49"
"2017-12-11", "09:02", "16:50", "07:48"
"2017-12-12", "09:03", "16:50", "07:47"
"2017-12-13", "09:04", "16:50", "07:46"
"2017-12-14", "09:05", "16:50", "07:45"
"2017-12-15", "09:06", "16:50", "07:44"
"2017-12-16", "09:06", "16:50", "07:44"
"2017-12-17", "09:07", "16:50", "07:43"
"2017-12-18", "09:08", "16:51", "07:43"
"2017-12-19", "09:09", "16:51", "07:42"
"2017-12-20", "09:09", "16:51", "07:42"
"2017-12-21", "09:10", "16:52", "07:42"
"2017-12-22", "09:10", "16:52", "07:42"
"2017-12-23", "09:11", "16:53", "07:42"
"2017-12-24", "09:11", "16:53", "07:42"
"2017-12-25", "09:11", "16:54", "07:43"
"2017-12-26", "09:12", "16:55", "07:43"
"2017-12-27", "09:12", "16:56", "07:44"
"2017-12-28", "09:12", "16:56", "07:44"
"2017-12-29", "09:12", "16:57", "07:45"
"2017-12-30", "09:12", "16:58", "07:46"
"2017-12-31", "09:12", "16:59", "07:47"
